Id;Label;Name;Platform;Year;Genre;Publisher
1;G0001;Wii Sports;Wii;2006;Sports;Nintendo
2;G0002;Super Mario Bros.;NES;1985;Platform;Nintendo
3;G0003;Mario Kart Wii;Wii;2008;Racing;Nintendo
4;G0004;Wii Sports Resort;Wii;2009;Sports;Nintendo
5;G0005;Pokemon Red/Pokemon Blue;GB;1996;Role-Playing;Nintendo
6;G0006;Tetris;GB;1989;Puzzle;Nintendo
7;G0007;New Super Mario Bros.;DS;2006;Platform;Nintendo
8;G0008;Wii Play;Wii;2006;Misc;Nintendo
9;G0009;New Super Mario Bros. Wii;Wii;2009;Platform;Nintendo
10;G0010;Duck Hunt;NES;1984;Shooter;Nintendo
11;G0011;Nintendogs;DS;2005;Simulation;Nintendo
12;G0012;Mario Kart DS;DS;2005;Racing;Nintendo
13;G0013;Pokemon Gold/Pokemon Silver;GB;1999;Role-Playing;Nintendo
14;G0014;Wii Fit;Wii;2007;Sports;Nintendo
15;G0015;Wii Fit Plus;Wii;2009;Sports;Nintendo
16;G0016;Kinect Adventures!;X360;2010;Misc;Microsoft Game Studios
17;G0017;Grand Theft Auto V;PS3;2013;Action;Take-Two Interactive
18;G0018;Grand Theft Auto: San Andreas;PS2;2004;Action;Take-Two Interactive
19;G0019;Super Mario World;SNES;1990;Platform;Nintendo
20;G0020;Brain Age: Train Your Brain in Minutes a Day;DS;2005;Misc;Nintendo
21;G0021;Pokemon Diamond/Pokemon Pearl;DS;2006;Role-Playing;Nintendo
22;G0022;Super Mario Land;GB;1989;Platform;Nintendo
23;G0023;Super Mario Bros. 3;NES;1988;Platform;Nintendo
24;G0024;Grand Theft Auto V;X360;2013;Action;Take-Two Interactive
25;G0025;Grand Theft Auto: Vice City;PS2;2002;Action;Take-Two Interactive
26;G0026;Pokemon Ruby/Pokemon Sapphire;GBA;2002;Role-Playing;Nintendo
27;G0027;Pokemon Black/Pokemon White;DS;2010;Role-Playing;Nintendo
28;G0028;Brain Age 2: More Training in Minutes a Day;DS;2005;Puzzle;Nintendo
29;G0029;Gran Turismo 3: A-Spec;PS2;2001;Racing;Sony Computer Entertainment
30;G0030;Call of Duty: Modern Warfare 3;X360;2011;Shooter;Activision
31;G0031;Pokémon Yellow: Special Pikachu Edition;GB;1998;Role-Playing;Nintendo
32;G0032;Call of Duty: Black Ops;X360;2010;Shooter;Activision
33;G0033;Pokemon X/Pokemon Y;3DS;2013;Role-Playing;Nintendo
34;G0034;Call of Duty: Black Ops 3;PS4;2015;Shooter;Activision
35;G0035;Call of Duty: Black Ops II;PS3;2012;Shooter;Activision
36;G0036;Call of Duty: Black Ops II;X360;2012;Shooter;Activision
37;G0037;Call of Duty: Modern Warfare 2;X360;2009;Shooter;Activision
38;G0038;Call of Duty: Modern Warfare 3;PS3;2011;Shooter;Activision
39;G0039;Grand Theft Auto III;PS2;2001;Action;Take-Two Interactive
40;G0040;Super Smash Bros. Brawl;Wii;2008;Fighting;Nintendo
41;G0041;Call of Duty: Black Ops;PS3;2010;Shooter;Activision
42;G0042;Animal Crossing: Wild World;DS;2005;Simulation;Nintendo
